Title,Artist,Plays,Album,Duration
Don't Don't Do It!,N.E.R.D & Kendrick Lamar,1.70E+06,NO ONE EVER REALLY DIES,6:02
She Needs Me (Remix) (feat. Dom Kennedy & Murs),Kendrick Lamar,2.30E+06,Overly Dedicated,4:18
Alien Girl (Today W/ Her),Kendrick Lamar,3.00E+06,Overly Dedicated,3:16
Swimming Pools (Drank) (Black Hippy Remix),Kendrick Lamar,1.40E+06,Swimming Pools (Drank) (Black Hippy Remix),4:00
R.O.T.C (Interlude) (feat. Bj The Chicago Kid),Kendrick Lamar,9.62E+05,Overly Dedicated,5:15
H.O.C,Kendrick Lamar,3.30E+06,Overly Dedicated,2:44
"B*tch, Don’t Kill My Vibe (Remix) (feat. Emeli Sandé),",Kendrick Lamar,1.40E+06,"B*tch, Don't Kill My Vibe (Remix)",5:07
Barbed Wire (feat. Ash Riser),Kendrick Lamar,1.00E+06,Overly Dedicated,4:17
NILE,Beyoncé & Kendrick Lamar,3.60E+06,The Lion King: The Gift,4:26
County Building Blues,Kendrick Lamar,1.30E+06,County Building Blues,1:48
The Mantra,"Mike WiLL Made-It, Pharrell & Kendrick Lamar",5.20E+06,Creed II: The Album,4:18
Kites,"N.E.R.D, Kendrick Lamar & M.I.A.",1.10E+06,NO ONE EVER REALLY DIES,4:08
Two Presidents,YG Hootie & Kendrick Lamar,6.02E+05,Two Presidents,4:51
War Is My Love,Kendrick Lamar,1.80E+06,Gangsta Bangas 2,3:51
My People (feat. Jay Rock),Kendrick Lamar,2.10E+05,My People,2:46
I'm Ghost,Kendrick Lamar & DJ Haze,1.08E+05,I'm Ghost,4:02
You Don't Like Me,Kendrick Lamar & Melo Kan,6.80E+04,"Beaches & Bridges - La 2 da Bay, Vol. 5",4:11
Go Off feat. Kendrick Lamar,Ace Hood & Swizz Beatz (feat. Kendrick Lamar),1.51E+05,Reek What You Sow,3:29
Whose House,Slim The Mobster & Kendrick Lamar,7.80E+04,War Music,2:48
Family Matters,Drake,2.90E+07,Family Matters,7:37
Push Ups,Drake,3.10E+07,Push Ups,3:53
God's Plan,Drake,2.10E+09,Scorpion,3:19
First Person Shooter (feat. J. Cole),Drake,1.08E+08,For All The Dogs,4:08
Rich Baby Daddy,Drake,8.50E+07,For All The Dogs,5:20
Passionfruit,Drake,3.56E+08,More Life,4:59
Laugh Now Cry Later (feat. Lil Durk),Drake,6.64E+08,Laugh Now Cry Later,4:22
Jimmy Cooks (feat. 21 Savage),Drake,1.91E+08,"Honestly, Nevermind",3:39
Paris Morton Music,Drake,4.62E+08,Care Package,4:12
Teenage Fever,Drake,1.76E+08,More Life,3:40
Toosie Slide,Drake,6.30E+08,Toosie Slide,4:08
Headlines,Drake,4.30E+08,Headlines,3:57
"Hold On, We're Going Home",Drake & Majid Jordan,4.10E+08,Nothing Was The Same (Deluxe),3:48
Knife Talk (feat. 21 Savage & Project Pat),Drake,2.54E+08,Certified Lover Boy,4:03
IDGAF (feat. Yeat),Drake,6.70E+07,For All The Dogs,4:21
Nonstop,Drake,4.14E+08,Scorpion,3:59
Chicago Freestyle,Drake & Giveon,2.78E+08,Dark Lane Demo Tapes,3:41
Fair Trade (feat. Travis Scott),Drake,1.82E+08,Certified Lover Boy,4:52
You Broke My Heart,Drake,2.90E+07,For All The Dogs Scary Hours Edition,3:51
Girls Need Love (Remix),Summer Walker & Drake,1.91E+08,Over It (Complete Set),3:43
Rich Flex,Drake & 21 Savage,1.35E+08,Her Loss,4:00
Search & Rescue,Drake,8.40E+07,Search & Rescue,4:33
Forever,Drake,5.35E+08,Forever,5:58
Spin Bout U,Drake & 21 Savage,1.13E+08,Her Loss,3:35
Nice For What,Drake,5.41E+08,Scorpion,3:31
Take Care (feat. Rihanna),Drake,5.76E+08,Take Care (Explicit Deluxe),4:38
Marvins Room,Drake,1.93E+08,Take Care (Deluxe),5:48
Money In The Grave (feat. Rick Ross),Drake,3.61E+08,The Best In The World Pack,3:26
Practice,Drake,7.40E+07,Take Care (Explicit Deluxe),3:58
Do Not Disturb,Drake,1.37E+08,More Life,4:44
The Motto (feat. Lil Wayne),Drake,2.54E+08,Take Care (Deluxe),3:02
Trust Issues,Drake,1.50E+08,Care Package,4:42
In My Feelings,Drake,8.19E+08,Scorpion,3:38
Wants and Needs (feat. Lil Baby),Drake,1.39E+08,Scary Hours 2,3:13
Shot For Me,Drake,1.17E+08,Take Care (Explicit Deluxe),3:45
Cameras / Good Ones Go Interlude (Medley),Drake,8.70E+07,Take Care (Deluxe),7:15
Best I Ever Had,Drake,1.45E+08,Best I Ever Had,4:19
Energy,Drake,4.05E+08,If You're Reading This It's Too Late,3:02
Yebba’s Heartbreak,Drake & Yebba,5.50E+07,Certified Lover Boy,2:14
Not You Too (feat. Chris Brown),Drake,5.00E+07,Dark Lane Demo Tapes,4:30
Virginia Beach,Drake,2.70E+07,For All The Dogs,4:12
Back To Back,Drake,3.60E+07,Back To Back,2:51
Started From the Bottom,Drake,5.67E+08,Nothing Was The Same,2:55
From Time (feat. Jhené Aiko),Drake,2.42E+08,Nothing Was The Same,5:23
Girls Want Girls (feat. Lil Baby),Drake,1.06E+08,Certified Lover Boy,3:42
Slime You Out (feat. SZA),Drake,3.40E+07,For All The Dogs,5:11
Fancy (feat. T.I. & Swizz Beatz),Drake,4.20E+07,Thank Me Later,5:20
Pound Cake / Paris Morton Music 2 (feat. JAY-Z),Drake,1.07E+08,Nothing Was The Same,7:13
